Sentence,Intent
"- Chính sách nghỉ lễ của công ty thế nào
",holiday
"- Công ty có cho nghỉ lễ nhiều không
",holiday
"- Công ty cho nghỉ lễ thế nào
",holiday
"- Lịch nghỉ lễ của công ty thế nào
",holiday
"- Lịch nghỉ lễ của nhân viên
",holiday
"- Lịch nghỉ lễ của công ty
",holiday
"- Các ngày lễ tết có được nghỉ nhiều không
",holiday
"- Ad cho xin thông tin lịch nghỉ lễ
",holiday
"- công ty có tổ chức đi chơi cho nhân viên hằng năm không
",holiday
"- Ngoài các ngày lễ tết lớn thì có những ngày nào được nghỉ
",holiday
"- Công ty có lịch nghỉ lễ không
",holiday
- trung thu có được nghỉ không,holiday
"- Các ngày lễ tết được nghỉ bao nhiêu
",holiday
"- Tôi có phải mang lap đi làm không
",laptop
"- Công ty cấp máy tính riêng hay phải tự mang đi
",laptop
"- Tôi có được cấp laptop khi làm việc không
",laptop
"- Hình như công ty cấp laptop riêng cho nhân viên à
",laptop
"- Tôi làm bằng máy tính của tôi được không
",laptop
"- Nhân viên làm việc bằng máy tính công ty hay máy tính cá nhân
",laptop
"- Phải tự mang laptop cá nhân đi à
",laptop
"- Có máy tính riêng để làm việc không
",laptop
"- Công ty cấp sẵn máy tính cho nhân viên chứ
",laptop
"- Máy tính là công ty cấp sẵn phải không
",laptop
"- Công ty có hỗ trợ máy tính riêng cho nhân viên không
",laptop
"- Nghe bảo công ty cấp máy tính riêng à
",laptop
"- Công ty có cấp sẵn máy tính cho nhân viên không
",laptop
"- Hình như không cấp laptop riêng đúng không
",laptop
"- Nhân viên phải tự mang laptop à
",laptop
"- Có phải công ty cấp laptop cho nhân viên không
",laptop
"- Ai cũng được cấp laptop riêng à
",laptop
"- Tôi có cần mang máy tính đi làm không
",laptop
"- Nghe bảo phải tự mang máy tính cá nhân đi à
",laptop
"- Công ty có cấp laptop hay máy cây riêng cho nhân viên không
",laptop
"- Nhân viên làm việc bằng máy của mình hay gì
",laptop
"- Không có laptop công ty có cấp không
",laptop
"- Sếp mới được cấp máy tính riêng à
",laptop
"- Máy tính được cấp sẵn chứ
",laptop
"- Có bắt buộc phải có máy tính cá nhân không
",laptop
"- Nghe bảo không cấp máy tính riêng cho nhân viên à
",laptop
"- Có được cấp laptop riêng không
",laptop
"- Phải làm gì thì được cấp laptop cá nhân
",laptop
"- Nhân viên có được cấp laptop không
",laptop
"- Tôi có phải mang máy tính đi làm không
",laptop
"- Không có laptop cá nhân thì sao
",laptop
"- Làm việc bằng máy tính công ty hay máy tính cá nhân
",laptop
"- Tôi có cần mang laptop đi làm không
",laptop
"- Công ty có yêu cầu phải có laptop cá nhân không
",laptop
"- Công ty có yêu cầu tự mang laptop không
",laptop
"- Nhân viên được cấp laptop à
",laptop
"- Công ty có cấp sẵn laptop cho nhân viên không
",laptop
- Ngoài được cấp laoptop thì có được cấp thêm mấy cây không,laptop
"- Tôi mang máy tính của tôi đi làm được không
",laptop
"- Nhân viên không được cấp laptop à
",laptop
"-  Thưởng tết được mấy tháng lương
",laudatory
"- Công ty có thưởng nhiều không
",laudatory
"-  Thưởng tết được nhiều không
",laudatory
"-  Công ty có chính sách khen thưởng như nào
",laudatory
"-  Đi làm đầy đủ có được tăng lương không
",laudatory
"- các loại phụ cấp trong samsung là những loại nào
",laudatory
"- Chính sách khen thưởng của công ty như thế nào
",laudatory
"-  Nghỉ lẽ được thưởng ra sao
",laudatory
"-  Làm lâu có được tăng lương không
",laudatory
"-  Công ty có phụ cấp gì không
",laudatory
"-  Quốc tế lao động có được thưởng không
",laudatory
"-  Svmc được thưởng nhiều không
",laudatory
- làm sao để nhân được khen thưởng trong công ty,laudatory
"-  Có phải Samsung có 19 tháng lương không
",laudatory
"-  Thâm niên cao thì được thưởng không
",laudatory
"-  Thấy bảo Samsung thưởng đến 19 tháng lương à
",laudatory
"- nhân viên xuất sắc có được thưởng thêm không
",laudatory
"- các loại khen thưởng trong công ty là những loại nào
",laudatory
"- quốc khánh và tết lao động công ty thưởng nhân viên không
",laudatory
"-  Samsung thưởng nhiều lắm phải không
",laudatory
"- nghe nói samsung có chính sách thưởng cho nhân viên thêm 6 tháng lương ạ
",laudatory
"-  Làm lâu năm có được lương cao không
",laudatory
"- một năm có bao nhiêu dịp được thưởng 
",laudatory
"- bao nhiêu lâu được thưởng một lần
",laudatory
"- có lương tháng 13 không
",laudatory
"-  Quốc khánh có được thưởng không
",laudatory
"-  Làm sao để tăng lương
",laudatory
"-  Svmc có phụ cấp gì không
",laudatory
"-  Công ty trả phụ cấp như nào
",laudatory
"- Chính sách khen thưởng của công ty như nào
",laudatory
"- số tháng lương mà công ty thưởng cho nhân viên là bao nhiêu tháng?
",laudatory
"- công ty có thưởng lương khi thăng cấp không
",laudatory
"-  Công ty có thưởng ngày quốc khánh không
",laudatory
"- một năm được thưởng tối đa bao ngày lương
",laudatory
"-  Svmc có thưởng quốc khánh không
",laudatory
"-  Tết có được thưởng không
",laudatory
"-  01/05 được thưởng không
",laudatory
"-  Thâm niên cao thì thưởng nhiều hơn không
",laudatory
"- mỗi tháng được nghỉ bao nhiêu ngày có lương
",laudatory
"- sinh viên năm nhất có được vào làm không
",old
"- 16 tuổi có được vào làm không
",old
"- Già rồi có xin việc được không
",old
"- tôi năm nay đã về hưu, nhưng muốn ứng tuyển được không
",old
"- Svmc có yêu cầu gì vể tuổi không
",old
"- có độ tuổi ưu tiền làm việc không
",old
"- có bị giới hạn tuổi làm việc không
",old
"- công ty có tuyển thần đồng độ tuổi vị thành niên không
",old
"- độ tuổi ưu tiên trong tuyển dụng là bao nhiêu
",old
"- Tôi 35 tuổi có xin việc được không
",old
"- độ tuổi ưu tiên vào vị trí này là bao nhiêu
",old
"- Độ tuổi nào phù hợp vào svmc
",old
"- Bao nhiêu tuổi thì được vào làm
",old
"- ngoài độ tuổi lao động thì có tuyển không
",old
"- nghe nói công ty không tuyển người quá 30 tuổi đúng không ạ
",old
"- Tôi 35 tuổi có ứng tuyển được không
",old
"- công ty có tuyển người dưới độ tuổi lao động không
",old
"- Vào svmc tuổi như nào thì phù hợp
",old
"- Độ tuổi ứng tuyển là bao nhiêu
",old
"- tôi năm nay 12 tuổi và tôi muốn vào công ty làm việc có được không
",old
"- công việc này phù hợp với người độ tuổi là bao nhiêu
",old
"- Độ tuổi được tuyển dụng là bao nhiêu
",old
"- giới hạn độ tuổi khi tuyển dụng vào vị trí này là bao nhiêu
",old
"- hiện tại tôi là giáo sư và 55 tuổi công ty có tuyển tôi không
",old
"- Tôi 17 tuổi có ứng tuyển được không
",old
"- độ tuổi tuyển dụng là bao nhiêu
",old
"- công ty có tuyển tuổi trung niên không
",old
"- Tôi lớn tuổi rồi có ứng tuyển được không
",old
"- năm nay tôi được 40 xuân xanh tôi còn có thể ứng tuyển vào vị trí Java Developer không
",old
"- tuổi tôi nay có phù hợp với công việc ở đó không
",old
"- svmc này tuyển người độ tuổi từ bao nhiêu đến bao nhiêu
",old
"- Tôi muốn làm OT có được không
",overtime
"- Làm thêm giờ ở công ty được ưu đãi gì
",overtime
"- overtime lương thế nào
",overtime
"- Lương cho nhân viên overtime thế nào
",overtime
"- làm quá giờ có được không
",overtime
"- Công ty có làm quá giờ không
",overtime
"- Chính sách overtime ở công ty thế nào
",overtime
"- Cuối tuần có tăng ca không
",overtime
"- tôi muốn tăng lương làm thêm giờ có được không
",overtime
"- trong công ty ot thoải mái không
",overtime
"- Tôi muốn về nhà lúc 5h và không muốn OT
",overtime
"- Làm thêm giờ thì lương thế nào
",overtime
"- Làm thêm giờ vào thứ bảy không
",overtime
"- Thứ bảy và chủ nhật có cần đi làm không
",overtime
"- Tôi có phải đi làm thứ bảy chủ nhật không
",overtime
"- Công ty có yêu cầu nhân viên làm việc cuối tuần không
",overtime
"- Thứ bảy và chủ nhật có được nghỉ không
",overtime
- làm việc thêm vào cuối tuần có được không,overtime
"- cuối tuần phải đi làm tăng ca à
",overtime
"- Có tăng ca vào cuối tuần không
",overtime
"- một tháng phải tăng ca bao nhiêu lần
",overtime
"- Chính sách lương overtime của công ty thế nào
",overtime
"- Công ty có làm tăng ca không
",overtime
"- chính sách làm thêm giờ tại công ty
",overtime
"- Chính sách OT ở công ty như nào
",overtime
"- OT thì trả lương thế nào
",overtime
"- Qúa giờ lương thế nào
",overtime
"- công ty có thường xuyên ot không
",overtime
"- Thời gian OT có thường xuyên không
",overtime
"- mỗi ngày làm thêm tối đa bao nhiêu ngày
",overtime
"- công ty có thường xuyên làm quá giờ không
",overtime
"- overtime lương thế nào
",overtime
"- overtime bao tiếng một ngày
",overtime
"- overtime thì trả lương thế nào
",overtime
"- nghỉ việc bệnh tật có cần làm việc bù giờ không
",overtime
"- OT tại công ty như thế nào
",overtime
"- Công ty có OT không
",overtime
"- nghe nói công ty ép nhân viên tăng ca à
",overtime
"- Cuối tuần có được nghỉ không
",overtime
"- tôi muốn ot vào thứ bảy được không
",overtime
"- còn vị trí partime nào không
",partTime
"- Ad cho xin lịch làm việc của công ty
",partTime
"- Có bắt buộc làm full time không
",partTime
"- Chính sách là việc part time của công ty thế nào
",partTime
"- Tôi muốn làm việc part time thì sao
",partTime
"- Vào công ty bắt buộc phải làm full time à
",partTime
"- Vào công ty có được làm part time không
",partTime
"- Muốn làm part time thì phải làm gì
",partTime
"- công việc partime có những việc gì
",partTime
"- Công ty có chính sách làm việc part time không hả ad
",partTime
"- Không thích làm việc full time được không
",partTime
"- Chỉ làm part time được không
",partTime
"- Công ty chỉ có làm việc full time thôi à
",partTime
"- Có thể làm việc part time không
",partTime
"- Tôi chỉ thích làm việc part time thôi thì sao
",partTime
"- em mãi tháng 1 năm sau mới ra trường nên bây giờ em có thể đi thực tập partime không
",partTime
"- công ty có tuyển làm việc bán thời gian không
",partTime
"- Tôi chỉ muốn làm part time được không
",partTime
"- Công ty không có làm việc part time à
",partTime
"- công ty chỉ tuyển fulltime hay cả partime
",partTime
"- em hiện tại không thể làm fulltime được vậy em có thể đi làm part không
",partTime
"- Có được làm việc part time không hả ad
",partTime
"- làm việc bán thời gian bao giờ một ngày
",partTime
"- Công ty có chính sách làm việc part time không
",partTime
"- những vị trí nào tuyển partime
",partTime
"- Không muốn làm full time thì sao
",partTime
"- SVMC có làm việc part time không
",partTime
"- Bắt buộc phải làm full time à
",partTime
"- Lịch làm việc của công ty thế nào
",partTime
"- Có chính sách làm việc part time không
",partTime
"- Tôi không muốn làm full time có được không
",partTime
"- công ty có những quy tắc nào khi xin thôi việc không
",resignation
"- tôi muốn thôi việc thì làm gì
",resignation
"- làm sao để hoàn thành đơn thôi việc
",resignation
"- Nếu muốn nghỉ cần báo trước mấy tháng
",resignation
"- Trước khi nghỉ hẳn cần báo trước mấy tháng
",resignation
"- nội quy xin nghỉ việc công ty là gì
",resignation
"- Không làm nữa thì báo cho ai
",resignation
"- Tôi muốn nghỉ hẳn thì báo trước bao lâu
",resignation
"- Không làm nữa thì phải báo trước không
",resignation
"- những hành vị bị đuổi việc
",resignation
"- nghe nói muốn nghỉ việc phải báo trước 1 tháng à
",resignation
"- thời gian tối thiểu hoàn thiện thủ tục xin việc
",resignation
"- Xin nghỉ làm trước bao lâu là được
",resignation
"- nghỉ việc đi còn gì nữa
",resignation
"- quy định xin thôi việc
",resignation
"- Nghỉ làm thì báo cho ai
",resignation
"- để xin nghỉ việc cần quy trình gì
",resignation
"- lí do xin nghỉ việc có cần ghi không
",resignation
"- xin thôi việc có cần báo không
",resignation
"- Tôi muốn nghỉ làm cần báo trước bao lâu
",resignation
"- Anh muốn nghỉ làm có cần báo trước không
",resignation
"- thôi việc cần báo cho ai, và báo trước không
",resignation
"- Báo trước bao lâu trước khi nghỉ làm
",resignation
"- Nghỉ làm có cần báo trước không
",resignation
"- chính sách với nhân viên khi nghỉ việc là gì
",resignation
"- tôi k muốn làm nữa thì tôi báo cho ai
",resignation
"- xin nghỉ việc báo trước bao lâu
",resignation
"- Trước khi nghỉ cần báo trước bao lâu
",resignation
"- Xin nghỉ làm trước bao lâu thì không bị trừ lương
",resignation
"- Tôi muốn nghỉ làm thì có cần báo trước không
",resignation
"- xin nghỉ việc có được lấy lại bảo hiểm không
",resignation
"- Nghỉ làm không báo trước có sao không
",resignation
"- những quy định đối với nhân viên khi muốn nghỉ việc
",resignation
"- Không làm nữa thì báo trước bao lâu
",resignation
"- thôi việc thì đi nộp cho nhân sự à
",resignation
"- trường hợp nào bị buộc thôi việc
",resignation
"- có dễ dàng xin nghỉ việc không
",resignation
"- Mức thu nhập trung bình ở công ty là bao nhiêu
",salary
"- lương khởi điểm cho lập trình viên android là bao nhiêu
",salary
"- một tháng lương trên 20 triệu thì cần gì
",salary
"- Mức lương như thế nào
",salary
"- lương của team nghiên cứu machine learning là bao nhiêu
",salary
"- lương công ty vào khoảng bao tiền
",salary
"- Lương thực tập sinh là bao nhiêu
",salary
"- mức lương tối đa nhân viên nhận được trong một năm là bao nhiêu
",salary
"- đi thực tập một tháng là bao nhiêu
",salary
"- Mức lương ban đầu là bao nhiêu
",salary
"- Thực tập sinh có được hỗ trợ lương không
",salary
"- lương của công ty bao nhiêu một tháng
",salary
"- Lương cho fresher là bao nhiêu
",salary
"- trong công ty có được tự offer lương không
",salary
"- Mức lương khởi điểm cho developer là bao nhiêu
",salary
"- thu nhập một năm lương có được 200 triệu không
",salary
"- Lương cho fresher là bao nhiêu?
",salary
"- Lương thực tập sinh là bao nhiêu?
",salary
"- Mức lương ở công ty thế nào
",salary
"- Mức lương khởi điểm cho dev là bao nhiêu
",salary
"- mức lương cho bộ phân non software là bao nhiêu
",salary
"- Vị trí lập trình viên web là bao nhiêu
",salary
"- Mức lương ở công ty thế nào?
",salary
"- lập trình viên lương bao nhiêu
",salary
"- tôi muốn mức lương 15 triệu thì cần gì
",salary
"- tôi muốn lương 2000 đô
",salary
"- lương tối thiểu trong công ty là bao nhiêu
",salary
"- làm AI lương có cao hơn bộ phân khác không
",salary
"- một năm thu nhập nhân viên là bao tiền
",salary
"- Vị trí lập trình viên Android lương bao nhiêu 
",salary
"- fulltime lương bao nhiêu
",salary
"- thực tập sinh có lương không
",salary
"- mỗi một người cần trải qua bao nhiêu vòng phỏng vấn
",step
"- thời gian phỏng vấn sẽ là bao lâu
",step
"- Phỏng vấn gồm những vòng gì
",step
"- Có phải kiểm tra gì trước khi phỏng vấn không
",step
"- Có phải test iq trước khi phỏng vấn không
",step
"- Tôi phải chuẩn bị những gì cho vòng phỏng vấn
",step
"- Xin quy trình phỏng vấn của công ty
",step
"- Tôi phải chuẩn bị những gì để pass vòng phỏng vấn
",step
"- trong phỏng vấn phải yêu cầu sử dụng tiếng anh ạ
",step
"- Phỏng vấn tôi phải làm những gì
",step
"- Vào công ty có cần qua vòng phỏng vấn không
",step
"- Thấy bảo công ty không có vòng phỏng vấn à
",step
"- Những thứ cần chuẩn bị cho vòng phỏng vấn
",step
- phỏng vấn có khó không ạ,step
"- Nghe nói quy trình phỏng vấn của công ty gồm nhiều vòng
",step
"- Phỏng vấn gồm mấy bước
",step
"- Có cần test trước khi phỏng vấn không
",step
"- trong khi phỏng vấn có test gì không ạ
",step
"- Vòng phỏng vấn có khó không
",step
"- Để là nhân viên cần phải thi những gì
",step
"- Quy trình phỏng vấn của công ty như thế nào
",step
"- Quy trình để thành nhân viên chính thức như nào
",step
"- Quy trình phỏng vấn như nào
",step
"- Tôi phải thi những gì để thành nhân viên chính thức
",step
"- có bao nhiêu người phỏng vấn
",step
"- Đi phỏng vấn có test không
",step
"- Cần chuẩn bị những gì cho vòng phỏng vấn
",step
"- phỏng vấn gồm mấy bước
",step
"- Phỏng vấn xin việc là xong à
",step
"- Hình như quy trình phỏng vấn của công ty dài dòng
",step
"- Vòng phỏng vấn yêu cầu làm những gì
",step
"- Quy trình phỏng vấn ra sao
",step
"- nộp cv cần gửi mail à
",submitCV
"- Tôi muốn nộp CV xin việc cần làm gì
",submitCV
"- nộp cv cho phòng nhân sự à
",submitCV
"- nộp cv cho ai
",submitCV
"- quy định về cv xin việc của công ty
",submitCV
"- cho em xin thông tin của phòng nhân sự được không ạ
",submitCV
"- email của HR là gì
",submitCV
"- quy định khi nộp cv
",submitCV
"- làm sao để có thể gửi cv cho phòng nhân sự
",submitCV
"- Email để nộp CV là gì
",submitCV
"- những quy định nào cần lưu ý khi nộp đơn xin việc ạ
",submitCV
"- có thể nộp cv thông qua trang web công ty được không
",submitCV
"- Làm thế nào để nộp hồ sơ xin việc
",submitCV
"- tiêu đề email khi nộp cv là gì ạ
",submitCV
"- nộp cv online hay offline
",submitCV
"- Làm thế nào để nộp hồ sơ tuyển dụng
",submitCV
"- các cách nộp hồ sơ tuyển dụng
",submitCV
"- Nộp hồ sơ xin việc đến đâu
",submitCV
"- cách thức nộp cv xin việc
",submitCV
"- tôi có thể nộp hồ sơ xin việc đi đâu
",submitCV
"- có nộp cv trực tiếp trên web được không
",submitCV
"- Ad cho em hỏi em nộp CV xin việc thì nộp thế nào
",submitCV
"- Email để nộp CV xin việc là gì
",submitCV
"- Hồ sơ tuyển dụng sẽ nộp cho ai
",submitCV
"- Email để nộp CV xin việc là gì
",submitCV
"- làm sao để nộp CV
",submitCV
"- định dạng đính kèm của cv là gì ạ
",submitCV
"- Làm thế nào để nộp CV
",submitCV
"- Tôi muốn nộp CV thì nộp cho ai
",submitCV
"- các cách để gửi đơn xin việc đi ạ
",submitCV
"- Email để nộp hồ sơ tuyển dụng là gì 
",submitCV
"- Cho tôi xin email của phòng nhân sự
",submitCV
"- email phòng nhân sự là gì ạ
",submitCV
"- Cách thức nộp hồ sơ tuyển dụng
",submitCV
"- Làm thế nào để nộp CV xin việc
",submitCV
"- số điện thoại phòng nhân sự là gì ạ
",submitCV
"- mỗi ngày làm việc bao nhiêu Giờ
",timework
"- Công ty bắt đầu làm việc buổi sáng từ lúc mấy giờ
",timework
"- Công ty làm việc lúc mấy h 
",timework
"- mấy giờ là bắt đầu giờ làm buổi chiều
",timework
"- một ngày làm việc từ mấy giờ đến mấy Giờ
",timework
"- Thời gian nghỉ trưa công ty là bao lâu
",timework
"- công ty có flex thời gian không
",timework
"- thích đi muộn về muộn có được không
",timework
"- một tuần có làm bao nhiêu ngày 
",timework
"- Thời gian biểu làm việc của công ty
",timework
"- mỗi ngày làm việc 8 tiếng ạ
",timework
"- Một tuần làm việc mấy ngày
",timework
"- buổi chiều tan làm lúc mấy giờ ạ
",timework
"- thời gian bắt đầu làm việc buổi sáng là khi nào
",timework
"- công ty có cho nhân viên tự sắp xếp thời gian làm việc không
",timework
"- thời gian cho nhân viên có linh hoạt không
",timework
"- mấy giờ thì được đi ăn trưa
",timework
"- Công ty làm việc tuần mấy ngày
",timework
"- số giờ làm việc tối thiểu
",timework
"- Thời gian ăn trưa ở công ty là mấy giờ
",timework
"- thời gian nghỉ trưa từ mấy giờ đến mấy giờ 
",timework
"- Tuần công ty làm việc từ thứ mấy đến thứ mấy
",timework
"- Công ty làm việc tuần bao nhiêu ngày
",timework
- buổi chiều làm việc khi nào ,timework
"- Một tuần làm việc bao nhiêu ngày
",timework
"- giờ làm việc công ty có theo giờ hành chính không
",timework
"- Công ty bắt đầu làm việc lúc mấy giờ
",timework
"- công ty làm việc buổi sáng từ mấy Giờ
",timework
"- số giờ làm việc tối thiểu mỗi tuần là bao nhiêu Giờ
",timework
"- Thời gian làm việc công ty thế nào
",timework
"- Công ty làm việc mấy ngày một tuần
",timework
"- Giờ hành chính tại công ty thế nào
",timework
"- thời gian làm việc buổi sáng muộn nhất là mấy giờ 
",timework
"- Công ty bắt đầu buổi chiều làm việc lúc mấy giờ
",timework
"- thời gian làm việc nhân viên có bị cứng nhắc quá không
",timework
"- công ty làm việc từ mấy Giờ
",timework
"- 5h tan giờ làm buổi chiều ạ
",timework
"- Thời gian làm việc của công ty bắt đầu từ khi nào
",timework
"- SVMC nằm ở đâu
",where
"- Công ty ở đâu
",where
"- trung tâm svmc có bao nhiêu chi nhanh
",where
"- Địa chỉ
",where
"- Trụ sở SVMC nằm ở đâu
",where
"- Cho tao địa chỉ công ty
",where
"- Địa chỉ ở đâu
",where
"- Công ty nằm ở chỗ nào
",where
"- Trụ sở công ty ở chỗ nào
",where
"- công ty ở số 1 phạm văn bạch à 
",where
"- công ty năm ở chỗ nào
",where
"- SVMC nằm ở đường nào
",where
- công ty gần đường nào ạ,where
"- Công ty nằm ở đâu
",where
"- Địa chỉ công ty ở chỗ nào
",where
"- Địa chỉ công ty nằm ở đâu
",where
"- SVMC xa không
",where
"- công ty có trụ sở ở chỗ nào
",where
"- Địa chỉ SVMC nằm ở chỗ nào
",where
"- Trụ sở SVMC nằm ở chỗ nào
",where
"- Địa chỉ SVMC nằm ở đâu
",where
"- địa chỉ trung tâm svmc ở chỗ nào
",where
"- Trụ sở ở đâu
",where
"- SVMC nằm ở quận/huyện nào
",where
"- Xin địa chỉ
",where
"- Xin địa chỉ công ty
",where
"- svmc ở Bắc Ninh có phải không
",where
"- công ty năm trên đường nào
",where
"- svmc ở Hà Nội à
",where
"- Trụ sở công ty ở đâu
",where
"- công ty hiện tại đang ở chỗ nào ạ
",where
"- trung tâm svmc nằm trên đường nào
",where
"- Ad cho xin địa chỉ công ty với
",where
"- Ad cho xin địa chỉ công ty
",where
"- svmc nằm ở khu nào
",where
